timestamp,c,h,l,o
2020-01-01T00:00:00Z,41.4268761141,41.4268761141,41.3233751191,41.3622228719
2020-01-01T01:00:00Z,41.681380131,41.7487209594,41.4436205919,41.4559880717
2020-01-01T02:00:00Z,41.9372961391,41.9372961391,41.7105092186,41.7105092186
2020-01-01T03:00:00Z,41.5560399641,41.92640153,41.5560399641,41.92640153
2020-01-01T04:00:00Z,41.8137144971,41.8137144971,41.483800812,41.5642607765
2020-01-01T05:00:00Z,41.9158764754,41.9493498575,41.8057387687,41.8057387687
2020-01-01T06:00:00Z,41.7558724976,42.0073799554,41.7558724976,41.9297479674
2020-01-01T07:00:00Z,41.6723551911,41.8221445404,41.6482325251,41.7929987599
2020-01-01T08:00:00Z,41.525223686,41.7308631261,41.5245389423,41.6599561722
2020-01-01T09:00:00Z,41.7731672474,41.7905254074,41.5545055435,41.5545055435
2020-01-01T10:00:00Z,41.976574288,42.0496282173,41.758226046,41.784227408
2020-01-01T11:00:00Z,42.0040770243,42.1669192876,41.9903738853,42.0194968266
2020-01-01T12:00:00Z,41.813257405,41.8450094939,41.7488481457,41.825196699
2020-01-01T13:00:00Z,42.0509301626,42.0509301626,41.8413377557,41.8413377557
2020-01-01T14:00:00Z,42.0390598523,42.1267604672,41.9824959344,41.9824959344
2020-01-01T15:00:00Z,42.2095444279,42.2689881098,42.0104115564,42.0104115564
2020-01-01T16:00:00Z,41.9688213031,42.2273579336,41.8488368797,42.2273579336
2020-01-01T17:00:00Z,42.1773438217,42.1773438217,42.0493403431,42.0805015696
2020-01-01T18:00:00Z,41.7814976015,42.2012073833,41.7814976015,42.1429258132
2020-01-01T19:00:00Z,41.9095070295,41.9612193204,41.859536247,41.8703457294
2020-01-01T20:00:00Z,42.0376150828,42.0376150828,41.8161333068,41.8981684588
2020-01-01T21:00:00Z,42.0735505796,42.1193103288,41.9848793148,42.0092417741
2020-01-01T22:00:00Z,42.0133293508,42.1137835209,41.923386015,42.1137835209
2020-01-01T23:00:00Z,41.999753646,42.0250676175,41.8490158161,41.9832132612
2020-01-02T00:00:00Z,42.1018836325,42.1018836325,41.9204605096,41.9817702951
2020-01-02T01:00:00Z,41.7312850198,42.0862577952,41.7312850198,42.0862577952
2020-01-02T02:00:00Z,41.6770201911,41.7315024044,41.541574627,41.7315024044
2020-01-02T03:00:00Z,41.5349596615,41.6900057575,41.5349596615,41.6842301337
2020-01-02T04:00:00Z,41.5056789929,41.5557602204,41.3056522815,41.5087256925
2020-01-02T05:00:00Z,41.5460905683,41.588852339,41.3600636512,41.4853054032
2020-01-02T06:00:00Z,41.555237497,41.6211735556,41.4812982773,41.5569123953
2020-01-02T07:00:00Z,41.4916162488,41.5571122709,41.4908816222,41.5323492861
